no_a,no_b,peso
VBA,Visual Basic .NET,0.774
"PL/SQL,","Transact-SQL, (T-SQL,)",0.657
F#,OCaml,0.6333
SAS,Stata,0.588
SystemVerilog,Verilog,0.5626
Dart,TypeScript,0.5623
"PL/pgSQL,","Transact-SQL, (T-SQL,)",0.5577
GDScript,Mojo,0.5567
"CommonLisp,",Racket,0.5557
Apex,Haxe,0.5539
Elm,Haskell,0.5451
Apex,X++,0.5266
"PL/pgSQL,","PL/SQL,",0.5209
Dart,X++,0.5174
D,Dart,0.5067
D,Mojo,0.5031
Verilog,VHDL,0.5009
C++,D,0.4971
Haxe,Solidity,0.4969
Kotlin,Scala,0.495
D,Rust,0.4878
Ruby,Smalltalk (Pharo),0.4865
Apex,Dart,0.4847
CUDA C/C++,OpenCL,0.4831
Dart,Haxe,0.4779
HiveQL (Apache Hive),"PL/pgSQL,",0.4748
HiveQL (Apache Hive),"SQL,",0.4689
Crystal,F#,0.4656
MQL5,Solidity,0.4635
HCL (Terraform),"SQL,",0.4633
Dart,Solidity,0.4619
GAMS,"SQL,",0.4615
D,Haxe,0.4608
Dart,Kotlin,0.4606
Solidity,X++,0.4591
Java,Rust,0.4526
F#,Scala,0.4516
Elixir,Ruby,0.4516
ABAP,PL/I,0.45
GraphQL,HiveQL (Apache Hive),0.4467
Groovy,Python,0.4465
Julia,MATLAB,0.4441
ABAP,"COBOL,",0.4434
Crystal,"Delphi (Object Pascal,)",0.4431
Haxe,X++,0.4428
Apex,D,0.4389
Rust,Solidity,0.4382
CFML (ColdFusion),PHP,0.4374
GDScript,Groovy,0.4374
Apex,Solidity,0.4366
Dart,Rust,0.4365
D,X++,0.4332
Clojure,"CommonLisp,",0.4325
D,Solidity,0.4307
Crystal,Ruby,0.4307
Erlang,Prolog,0.4274
GraphQL,"SQL,",0.4268
ABAP,VBA,0.425
C++,"Delphi (Object Pascal,)",0.4229
C#,Swift,0.4211
Java,Solidity,0.42
"Delphi (Object Pascal,)",Haxe,0.4195
Haxe,Rust,0.4194
Kotlin,Swift,0.4187
C++,"Fortran,",0.4169
HCL (Terraform),HiveQL (Apache Hive),0.4162
"COBOL,",RPG,0.415
GraphQL,HCL (Terraform),0.4145
Racket,Scheme,0.4134
C++,Groovy,0.4131
OCaml,Scala,0.4124
C++,GDScript,0.412
D,Java,0.4111
OpenCL,Zig,0.4107
C#,Java,0.4104
Perl,Tcl,0.4104
D,Groovy,0.4101
CUDA C/C++,MQL5,0.409
MQL5,X++,0.4086
Kotlin,TypeScript,0.4083
"COBOL,",NATURAL,0.4079
Crystal,OCaml,0.4076
OCaml,PL/I,0.4073
Haxe,MQL5,0.4067
GDScript,Python,0.4064
"COBOL,",MQL5,0.4061
"CommonLisp,",Scheme,0.4059
Bash / Shell Script,Tcl,0.4052
SystemVerilog,VHDL,0.405
C#,Rust,0.4042
APL,Q (kdb+),0.4026
Go,Java,0.4013
CUDA C/C++,Java,0.4003
Java,Scala,0.3998
Dart,MQL5,0.3993
NATURAL,PL/I,0.3988
Rust,Scala,0.3986
"Fortran,",Haxe,0.3986
Java,MQL5,0.3984
Elixir,Erlang,0.398
Q (kdb+),R,0.397
AWK,Perl,0.3969
Apex,"Fortran,",0.3968
Haxe,Objective-C,0.3961
"Delphi (Object Pascal,)",Zig,0.3952
Apex,Rust,0.3923
Q (kdb+),SAS,0.39
Apex,"Delphi (Object Pascal,)",0.3881
Rust,X++,0.3878
F#,Rust,0.3862
CUDA C/C++,Rust,0.3862
Ruby,Wolfram Language,0.3861
MQL5,Rust,0.3857
Clojure,Elixir,0.3854
"Delphi (Object Pascal,)",Swift,0.3837
Haxe,Verilog,0.3833
TypeScript,X++,0.3833
Go,Zig,0.3824
Mojo,Python,0.3815
CUDA C/C++,Solidity,0.3813
"COBOL,",PL/I,0.3813
"CommonLisp,",Prolog,0.3801
F#,TypeScript,0.3798
"COBOL,",Stata,0.3794
Rust,Swift,0.3791
ABAP,NATURAL,0.3786
"Delphi (Object Pascal,)","Fortran,",0.3782
Prolog,Q (kdb+),0.3782
Ada 2022,PL/I,0.3775
Erlang,Smalltalk (Pharo),0.3774
Racket,Smalltalk (Pharo),0.3771
MATLAB,Wolfram Language,0.3771
Kotlin,X++,0.3769
Apex,Objective-C,0.3762
AWK,Bash / Shell Script,0.376
C#,MQL5,0.3754
"PL/SQL,",VHDL,0.375
HiveQL (Apache Hive),"Transact-SQL, (T-SQL,)",0.375
OpenCL,SystemVerilog,0.375
RPG,"Transact-SQL, (T-SQL,)",0.375
Apex,C#,0.375
"PL/SQL,",RPG,0.375
Lua,R,0.3747
Mojo,Nim,0.3742
Rust,Zig,0.3741
C#,Dart,0.3731
NATURAL,RPG,0.372
"PL/pgSQL,","SQL,",0.372
GDScript,Haxe,0.3719
Dart,Scala,0.3715
PowerShell,Ruby,0.3713
JavaScript,PHP,0.3696
C#,"Delphi (Object Pascal,)",0.3694
APL,Stata,0.3691
APL,R,0.3691
ABAP,X++,0.3687
C#,Zig,0.3674
Kotlin,Solidity,0.3672
D,Kotlin,0.3671
"Delphi (Object Pascal,)",MQL5,0.3667
Apex,Verilog,0.366
GAMS,RPG,0.3652
Ada 2022,Go,0.3648
Ada 2022,TypeScript,0.3641
ABAP,Visual Basic .NET,0.3639
C#,TypeScript,0.3636
R,Stata,0.3634
D,GDScript,0.3634
CFML (ColdFusion),Perl,0.3625
Apex,MQL5,0.3621
Dart,F#,0.3619
Crystal,Elixir,0.3607
GAMS,HCL (Terraform),0.3607
GAMS,HiveQL (Apache Hive),0.3606
"COBOL,",Kotlin,0.3596
Solidity,Verilog,0.3595
D,MQL5,0.3594
D,Julia,0.3593
ABAP,Solidity,0.3591
"COBOL,","SQL,",0.3587
GAMS,GraphQL,0.3587
Elm,Rust,0.3586
Clojure,Scheme,0.3584
Apex,TypeScript,0.3583
"PL/pgSQL,",SAS,0.3581
"Delphi (Object Pascal,)",Rust,0.3576
Groovy,Haxe,0.3567
Scala,X++,0.3567
Scala,Swift,0.3562
Apex,Groovy,0.3552
"COBOL,",LabVIEW,0.3551
C++,CUDA C/C++,0.3547
"Fortran,",SystemVerilog,0.3542
Clojure,Erlang,0.3541
C++,Haxe,0.3537
Bash / Shell Script,CFML (ColdFusion),0.3537
Scala,SystemVerilog,0.3531
Crystal,TypeScript,0.3529
Q (kdb+),Stata,0.3528
Groovy,PowerShell,0.3525
NATURAL,Stata,0.3524
Apex,C++,0.352
NATURAL,"PL/pgSQL,",0.3514
C#,Scala,0.3513
Elm,F#,0.3513
Q (kdb+),Wolfram Language,0.3513
"PL/pgSQL,",Scala,0.3513
Smalltalk (Pharo),Wolfram Language,0.3507
"COBOL,",X++,0.3506
Swift,Zig,0.3506
PL/I,VHDL,0.3504
Bash / Shell Script,Perl,0.3501
GDScript,Nim,0.3499
Elm,TypeScript,0.3493
"CommonLisp,",R,0.3492
"CommonLisp,",Wolfram Language,0.3491
MATLAB,Stata,0.3491
F#,Swift,0.3491
Haskell,Scala,0.3489
LabVIEW,"SQL,",0.3484
Apex,Scala,0.3482
Rust,Verilog,0.348
D,PowerShell,0.3476
Bash / Shell Script,PHP,0.347
GraphQL,"PL/pgSQL,",0.347
C++,Rust,0.3469
Dart,Verilog,0.3468
Prolog,Stata,0.3466
Clojure,Racket,0.3463
Kotlin,Rust,0.3461
Lua,Stata,0.3454
OCaml,VHDL,0.3446
